,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
152,2019-04-23,sh.600000,8.9425350400,9.0344104000,8.9042536400,8.9578476000,8.9655038800,33847719,396659664.0000,2,0.120438,1,-0.085399,0
153,2019-04-24,sh.600000,9.0037852800,9.0114415600,8.8123782800,8.8965973600,8.9578476000,38201108,444929313.0000,2,0.135929,1,-0.683760,0
154,2019-04-25,sh.600000,8.8506596800,8.9501913200,8.7894094400,8.8353471200,8.8965973600,40876129,473973527.0000,2,0.145447,1,-0.688468,0
155,2019-04-26,sh.600000,8.7511280400,8.8506596800,8.6362838400,8.6669089600,8.8353471200,42469581,485267261.0000,2,0.151117,1,-1.906415,0
156,2019-04-29,sh.600000,8.6898778000,8.8353471200,8.6822215200,8.7894094400,8.6669089600,38586938,442046727.0000,2,0.137302,1,1.413426,0
157,2019-04-30,sh.600000,8.9578476000,9.2564425200,8.9578476000,9.1645671600,8.7894094400,123474738,1466714710.0000,2,0.439353,1,4.268299,0
158,2019-05-06,sh.600000,8.9961290000,9.0803480800,8.8353471200,9.0344104000,9.1645671600,124545414,1460217054.0000,2,0.443163,1,-1.420218,0
159,2019-05-07,sh.600000,9.0497229600,9.1415983200,8.8812848000,9.0344104000,9.0344104000,85489922,1010271124.0000,2,0.304194,1,0.000000,0
160,2019-05-08,sh.600000,8.9119099200,9.0190978400,8.7970657200,8.8123782800,9.0344104000,58500103,677487368.0000,2,0.208158,1,-2.457627,0
161,2019-05-09,sh.600000,8.7894094400,8.8506596800,8.4984708000,8.5137833600,8.8123782800,64128049,722119098.0000,2,0.228183,1,-3.388361,0
162,2019-05-10,sh.600000,8.5980024400,8.7434717600,8.4678456800,8.6669089600,8.5137833600,48550722,548884302.0000,2,0.172755,1,1.798560,0
163,2019-05-13,sh.600000,8.5750336000,8.7281592000,8.5367522000,8.6592526800,8.6669089600,40284963,455643057.0000,2,0.143344,1,-0.088333,0
164,2019-05-14,sh.600000,8.5597210400,8.7587843200,8.5520647600,8.5826898800,8.6592526800,41888998,473151522.0000,2,0.149051,1,-0.884177,0
165,2019-05-15,sh.600000,8.6362838400,8.7434717600,8.5980024400,8.6669089600,8.5826898800,34404465,389533437.0000,2,0.122419,1,0.981264,0
166,2019-05-16,sh.600000,8.6362838400,8.6975340800,8.5903461600,8.6515964000,8.6669089600,34141755,385015233.0000,2,0.121485,1,-0.176674,0
167,2019-05-17,sh.600000,8.6669089600,8.6898778000,8.5750336000,8.6056587200,8.6515964000,38399831,433108021.0000,2,0.136636,1,-0.530977,0
168,2019-05-20,sh.600000,8.6362838400,8.7587843200,8.6133150000,8.6822215200,8.6056587200,34904438,396448397.0000,2,0.124198,1,0.889683,0
169,2019-05-21,sh.600000,8.6745652400,8.7664406000,8.6592526800,8.6669089600,8.6822215200,32975873,374972621.0000,2,0.117336,1,-0.176371,0
170,2019-05-22,sh.600000,8.6669089600,8.6822215200,8.5137833600,8.5444084800,8.6669089600,40000391,447828812.0000,2,0.142331,1,-1.413426,0
171,2019-05-23,sh.600000,8.5137833600,8.5367522000,8.3836266000,8.4984708000,8.5444084800,36312689,401709177.0000,2,0.129209,1,-0.537630,0
172,2019-05-24,sh.600000,8.5520647600,8.5903461600,8.4219080000,8.5061270800,8.4984708000,24160265,269312449.0000,2,0.085968,1,0.090084,0
173,2019-05-27,sh.600000,8.4908145200,8.6209712800,8.3912828800,8.5903461600,8.5061270800,35087915,390018809.0000,2,0.124851,1,0.990105,0
174,2019-05-28,sh.600000,8.5673773200,8.6515964000,8.4372205600,8.6439401200,8.5903461600,72278135,809741253.0000,2,0.257183,1,0.623883,0
175,2019-05-29,sh.600000,8.5520647600,8.6439401200,8.4755019600,8.5137833600,8.6439401200,40860970,455620583.0000,2,0.145393,1,-1.505758,0
176,2019-05-30,sh.600000,8.5597210400,8.5597210400,8.4448768400,8.5061270800,8.5137833600,26650033,295267455.0000,2,0.094827,1,-0.089930,0
